Category,Distance
Inter-population,0.9529569807503872
Inter-population,0.8990827445631351
Inter-population,0.923137055176212
Inter-population,0.9161095458362976
Inter-population,0.9705340578372152
Inter-population,0.959634996609366
Inter-population,0.9495008807985909
Inter-population,0.91890929608743
Inter-population,0.9241847253060768
Inter-population,0.9976165188210244
Inter-population,0.9780526383007988
Inter-population,0.9889232611515816
Inter-population,0.9856700232378002
Inter-population,0.9433363719234276
Inter-population,0.946358471704094
Inter-population,0.9730123997082422
Inter-population,0.9823324409581832
Inter-population,0.953551336582301
Inter-population,0.8257306746790495
Inter-population,0.9987382877944856
Inter-population,0.9556152840331252
Inter-population,0.9948377581120944
Inter-population,0.9808664058682914
Inter-population,0.9328669882839422
Inter-population,0.9830353544077848
Inter-population,0.9635590250338436
Inter-population,0.987018707804058
Inter-population,0.9753846153846154
Inter-population,0.9936060688160392
Inter-population,0.9088233702552064
Inter-population,0.9654653191302738
Inter-population,0.9413792878485406
Inter-population,0.9968679712100764
Inter-population,0.9409744222496416
Inter-population,0.954016216033916
Inter-population,0.9745620482665688
Inter-population,0.9375532216860633
Inter-population,0.8913777800002501
Inter-population,0.9294958101169392
Inter-population,0.9636730467457328
Inter-population,0.9580829921497802
Inter-population,0.9658853562311442
Inter-population,0.9564699771373542
Inter-population,0.8612667078381024
Inter-population,0.957493222976116
Inter-population,0.9444708115804462
Inter-population,0.9104758926420684
Inter-population,0.873414617784964
Inter-population,0.9656435518504484
Inter-population,0.9561985050170516
Inter-population,0.968318860574582
Inter-population,0.9949883077817488
Inter-population,0.9523149933682638
Inter-population,0.9593497138868028
Inter-population,0.9908334338439272
Inter-population,0.9550095724313976
Inter-population,0.966018251681076
Inter-population,0.9519740646415434
Inter-population,0.9299423221106448
Inter-population,0.9794631964213096
Inter-population,0.9675962123186518
Inter-population,0.9592102108194848
Inter-population,0.9604878048780487
Inter-population,0.9754027617951668
Inter-population,0.860681921898429
Inter-population,0.9807878292852812
Inter-population,0.9640274684813372
Inter-population,0.9789539835669924
Inter-population,0.98575288626873
Inter-population,0.9495747474660784
Inter-population,0.9646118245013612
Inter-population,0.947827619635146
Inter-population,0.969803576663735
Inter-population,0.9341911801645808
Inter-population,0.9410043271823336
Inter-population,0.9953190013869626
Inter-population,0.960539606912981
Inter-population,0.9980959289146796
Inter-population,0.963639881189471
Inter-population,0.9751071527971056
Inter-population,0.94656271712135
Inter-population,0.9410592349969468
Inter-population,0.9435015660574024
Inter-population,0.9076374761231812
Inter-population,0.9605954873226332
Inter-population,0.8627688109524474
Inter-population,0.8097902973395932
Inter-population,0.9589096172402702
Inter-population,0.9505043938846756
Inter-population,0.9441828287513464
Inter-population,0.9118185745666076
Inter-population,0.955337315686623
Inter-population,0.954366294067068
Inter-population,0.9659163859892888
Inter-population,0.991651503799636
Inter-population,0.998564447159438
Inter-population,0.9266367221915732
Inter-population,0.9423312701640536
Inter-population,0.9550535157127
Inter-population,0.9284571591995782
Inter-population,0.9800051870698868
Inter-population,0.9438621409316212
Inter-population,0.95556510069321
Inter-population,0.8731869042685454
Inter-population,0.9725241460207548
Inter-population,0.9084239070200456
Inter-population,0.9538340654448718
Inter-population,0.9615250648252068
Inter-population,0.9591628854523568
Inter-population,0.9354146133807152
Inter-population,0.9790582917087228
Inter-population,0.9140588384954272
Inter-population,0.9414770746164576
Inter-population,0.9489899020456072
Inter-population,0.90951999287559
Inter-population,0.9428505133236178
Inter-population,0.9543119907494556
Inter-population,0.9553823969829738
Inter-population,0.9048436723700612
Inter-population,0.9682335019857462
Inter-population,0.941397815318176
Inter-population,0.952477267530823
Inter-population,0.929274543386131
Inter-population,0.9605568445475638
Inter-population,0.9856154606346768
Inter-population,0.9643916913946587
Inter-population,0.8918571261515273
Inter-population,0.97224283230529
Inter-population,0.99879667558249
Inter-population,0.948142100324366
Inter-population,0.9401229334463757
Inter-population,0.9726481558226276
Inter-population,0.9721133392666654
Inter-population,0.9785867237687368
Inter-population,0.9281976463464606
Inter-population,0.9250463539153184
Inter-population,0.957743135051784
Inter-population,0.9904524709230996
Inter-population,0.9541951058120016
Inter-population,0.9822942112963836
Inter-population,0.8502928699590773
Inter-population,0.996967741935484
Inter-population,0.9729812732352738
Inter-population,0.9638258263102008
Inter-population,0.93487041169786
Inter-population,0.9455601869394972
Inter-population,0.939331163065996
Inter-population,0.9610259843424478
Inter-population,0.9559921852307228
Inter-population,0.9349356701448688
Inter-population,0.9630053394355454
Inter-population,0.9414474210315874
Inter-population,0.9548487894679472
Inter-population,0.9782453858540816
Inter-population,0.9362298066865532
Inter-population,0.945890866523
Inter-population,0.9387493716560048
Inter-population,0.9651357451616756
Inter-population,0.9362458141612874
Inter-population,0.9342955849994722
Inter-population,0.9898116145439068
Inter-population,0.9951814485770216
Inter-population,0.9121218946292146
Inter-population,0.9486577913574858
Inter-population,0.9373500063155236
Inter-population,0.9843806537209022
Inter-population,0.9612322571709032
Inter-population,0.9383182844243791
Inter-population,0.8992545150607523
Inter-population,0.9093743247831588
Inter-population,0.945095619987662
Inter-population,0.9721721205874776
Inter-population,0.96321769238425
Inter-population,0.9429148757719504
Inter-population,0.9994799019243628
Inter-population,0.9496460611890672
Inter-population,0.9271629679870612
Inter-population,0.9431245054027344
Inter-population,0.941046154498454
Inter-population,0.955843975989648
Inter-population,0.8911065880202709
Inter-population,0.9372853344166636
Inter-population,0.9589524576382412
Inter-population,0.9381131904069768
Inter-population,0.8653675819309123
Inter-population,0.9435645618645828
Inter-population,0.8993387215282881
Inter-population,0.9637065936954808
Inter-population,0.9750172281109142
Inter-population,0.9484426701880398
Inter-population,0.9903956571667188
Inter-population,0.8850918653020051
Inter-population,0.9961129484932736
Inter-population,0.9229933354980372
Inter-population,0.3935359284480129
Inter-population,0.9105965378778724
Inter-population,0.9452479755046131
Inter-population,0.9486733101212632
Inter-population,0.9732238875049346
Inter-population,0.9965633054752792
Inter-population,0.9543494765091192
Inter-population,0.862448859052668
Inter-population,0.9839780286412356
Inter-population,0.99968394437421
Inter-population,0.9143051156587992
Inter-population,0.9614804395988806
Inter-population,0.9892722848927228
Inter-population,0.9723665856400416
Inter-population,0.957153427053205
Inter-population,0.984924892129466
Inter-population,0.8540130307152574
Inter-population,0.9603564654759948
Inter-population,0.8836357263730908
Inter-population,0.9567740893103492
Inter-population,0.9813603116041704
Inter-population,0.9563811096293474
Inter-population,0.9778544427236984
Inter-population,0.9833459339161548
Inter-population,0.9304133739728184
Inter-population,0.959146848418956
Inter-population,0.9631603314968286
Inter-population,0.9846732992739984
Inter-population,0.9460993520052228
Inter-population,0.9604698153624842
Inter-population,0.924128751710255
Inter-population,0.9764448075203166
Inter-population,0.9600848907090964
Inter-population,0.9187048279849668
Inter-population,0.9451955149227982
Inter-population,0.95984011499495
Inter-population,0.9737940964722824
Inter-population,0.941122240494344
Inter-population,0.8726893018550848
Inter-population,0.96596053149075
Inter-population,0.9735019443338744
Inter-population,0.93836172380169
Inter-population,0.9321572229436544
Inter-population,0.9230242364411384
Inter-population,0.9394865867526706
Inter-population,0.8568573660592628
Inter-population,0.932010852684852
Inter-population,0.926168160998366
Inter-population,0.950617969659356
Inter-population,0.955497428599644
Inter-population,0.971424351179474
Inter-population,0.975836472909939
Inter-population,0.9700825121289288
Inter-population,0.8976115745357272
Inter-population,0.9192827498137705
Inter-population,0.9122710549159287
Inter-population,0.962269057810045
Inter-population,0.995591981009478
Inter-population,0.9237606048363826
Inter-population,0.9297966048618864
Inter-population,0.91180473365283
Inter-population,0.9767878477555896
Inter-population,0.9823861748089068
Inter-population,0.9015303582109184
Inter-population,0.9171795069715872
Inter-population,0.9049265799472
Inter-population,0.943790492991262
Inter-population,0.8825983313468415
Inter-population,0.9707569086803244
Inter-population,0.6212309605222256
Inter-population,0.992743607463718
Inter-population,0.8895623548453722
Inter-population,0.8732197550611469
Inter-population,0.9733508457922126
Inter-population,0.9573278430947608
Inter-population,0.9860787569389374
Inter-population,0.945647903666414
Inter-population,0.9708667557932265
Inter-population,0.9980619723329844
Inter-population,0.952139112338416
Inter-population,0.992851644121852
Inter-population,0.9537806252959068
Inter-population,0.9405892054492312
Inter-population,0.764659000341569
Inter-population,0.9820627802690582
Inter-population,0.9086776601346468
Inter-population,0.9424407114624506
Inter-population,0.9769647576703115
Inter-population,0.9609330400450312
Inter-population,0.9491495104567084
Inter-population,0.9563996265459728
