Category,Distance
Inter-population,0.9159562094045424
Inter-population,0.7797381176947836
Inter-population,0.9749582364334656
Inter-population,0.9340370950275464
Inter-population,1.0
Inter-population,1.0
Inter-population,0.9137332507877746
Inter-population,0.8727059415603478
Inter-population,0.9057403438156448
Inter-population,0.9204020388048696
Inter-population,0.8189274977700239
Inter-population,0.8809690847662975
Inter-population,0.9667993619526528
Inter-population,1.0
Inter-population,0.9008007859194588
Inter-population,0.8884124248262462
Inter-population,0.9801337756062016
Inter-population,0.8726632780844977
Inter-population,0.8601403254739802
Inter-population,0.8508390792221581
Inter-population,0.8735499908358509
Inter-population,0.8202022759144517
Inter-population,0.9193534409033356
Inter-population,0.9401878123042554
Inter-population,0.8068734347077012
Inter-population,0.9460769046335632
Inter-population,1.0
Inter-population,0.8282997794220311
Inter-population,0.7947324161303292
Inter-population,0.841837845336836
Inter-population,0.9716781768553344
Inter-population,0.8632823163737899
Inter-population,1.0
Inter-population,1.0
Inter-population,0.9444374353549858
Inter-population,0.9632189798588826
Inter-population,0.6943864679325076
Inter-population,0.9237104210396422
Inter-population,0.9955287042066798
Inter-population,0.8982982674005799
Inter-population,0.872878731130415
Inter-population,0.658053524668234
Inter-population,0.7576883646155465
Inter-population,0.953621008929794
Inter-population,0.6357406024632752
Inter-population,0.8668622885344621
Inter-population,0.9364470869249376
Inter-population,0.9086616664057432
Inter-population,0.9025743829415402
Inter-population,0.6888189995296736
Inter-population,0.9394948632613296
Inter-population,0.88517793787413
Inter-population,0.8883702961681083
Inter-population,0.9060094808347094
Inter-population,0.7407159467276396
Inter-population,0.8174682915034654
Inter-population,0.9690604344651256
Inter-population,0.9565763783698166
Inter-population,0.7821756681691532
Inter-population,0.9467907162209324
Inter-population,1.0
Inter-population,0.8653772016931965
Inter-population,0.8937135621818777
Inter-population,0.9035441353162268
Inter-population,0.9230468270637272
Inter-population,0.8795735821225387
Inter-population,0.9841105726706594
Inter-population,0.9328473312440058
Inter-population,0.8409206112464499
Inter-population,0.8117716786524903
Inter-population,0.8999763143777223
Inter-population,1.0
Inter-population,0.932150198227322
Inter-population,0.8199555447194559
Inter-population,0.7508562216336895
Inter-population,0.8684847997502302
Inter-population,0.8843447177590246
Inter-population,0.9066359976524654
Inter-population,0.8698340173316285
Inter-population,0.8012733087283204
Inter-population,0.8860756269740139
Inter-population,0.9251512984733592
Inter-population,0.925701016640854
Inter-population,0.9238951550697526
Inter-population,1.0
Inter-population,0.9355970306099078
Inter-population,0.950795080322162
Inter-population,0.9930847230959414
Inter-population,0.8278451407964273
Inter-population,0.8440234945765965
Inter-population,0.86218547324887
Inter-population,0.9688613345776664
Inter-population,0.8451005521367162
Inter-population,0.915938046603278
Inter-population,0.8951763699798506
Inter-population,0.9941615425778084
Inter-population,0.9030325061442012
Inter-population,0.8926353022406709
Inter-population,0.910796956219382
Inter-population,0.8829405067344741
Inter-population,1.0
Inter-population,0.9095962462302746
Inter-population,0.8925673866823814
Inter-population,0.9051559613109532
Inter-population,0.9852667381060988
Inter-population,0.8724053634229626
Inter-population,0.9139090323103072
Inter-population,0.7894281643717024
Inter-population,0.8418965459176535
Inter-population,0.9540244796105634
Inter-population,0.99901721337545
Inter-population,0.9122422996460468
Inter-population,0.8141340836452029
Inter-population,0.9954240715273336
Inter-population,0.9402067386570866
Inter-population,0.8782124558345372
Inter-population,0.9293235829248518
Inter-population,1.0
Inter-population,0.9228660849536408
Inter-population,0.986515073781516
Inter-population,0.9824442258604584
Inter-population,0.7043617647896542
Inter-population,0.8171665302162677
Inter-population,0.918546238820658
Inter-population,0.9523692619576292
Inter-population,0.943774046309416
Inter-population,0.972056690872414
Inter-population,0.8173151803429093
Inter-population,0.9783414192798752
Inter-population,0.9385110846574138
Inter-population,0.9742549305743043
Inter-population,0.8661212649417901
Inter-population,0.9057401227210208
Inter-population,0.9778531527962372
Inter-population,0.8026508963896458
Inter-population,0.9364089685834678
