Category,Distance
Inter-population,0.8806703828650729
Inter-population,0.848489882630399
Inter-population,0.8957562899231832
Inter-population,0.9177702478757772
Inter-population,0.8582360351197036
Inter-population,0.9555361018918664
Inter-population,0.9310724786427942
Inter-population,0.9662140604437602
Inter-population,0.9456141969538292
Inter-population,0.914112516354492
Inter-population,0.7438629261045114
Inter-population,0.8799053425992888
Inter-population,0.8916949387289513
Inter-population,0.9938187826345858
Inter-population,0.9198786171610815
Inter-population,0.895372324211843
Inter-population,0.8729042069683771
Inter-population,0.8426109520707838
Inter-population,0.8305879472775791
Inter-population,0.9618672292198396
Inter-population,0.980223713478046
Inter-population,0.7293321012649225
Inter-population,0.926554843373784
Inter-population,0.9731239259609016
Inter-population,0.9574975594619772
Inter-population,0.9172361602933978
Inter-population,0.9679814164972976
Inter-population,0.9730196658129148
Inter-population,0.9070592815237418
Inter-population,0.8960868754538629
Inter-population,0.9221890934532808
Inter-population,0.9452792458338904
Inter-population,0.9614987609099228
Inter-population,0.9348837906400336
Inter-population,0.8353329245769661
Inter-population,0.933048741465598
Inter-population,0.9052742106960204
Inter-population,0.8134686464683206
Inter-population,0.9357736310421996
Inter-population,0.9049019205138132
Inter-population,0.9526099109687808
Inter-population,0.9260606536659474
Inter-population,0.9225305081136796
Inter-population,0.9660208357666014
Inter-population,0.8860520534693619
Inter-population,0.7441214429364742
Inter-population,0.8512853899171844
Inter-population,0.877228005289382
Inter-population,0.8574201549510245
Inter-population,0.8907366185107465
Inter-population,0.875010306598271
Inter-population,0.9416422438510698
Inter-population,0.9813510220311604
Inter-population,0.8537037133638496
Inter-population,0.935805557804724
Inter-population,0.9346359286133727
Inter-population,0.8223288446037507
Inter-population,0.936368226247458
Inter-population,0.9398658162981588
Inter-population,0.8809648108929555
Inter-population,0.916247704099883
Inter-population,0.8466342254570424
Inter-population,0.949200037883982
Inter-population,0.8543445508084843
Inter-population,0.9337851757974022
Inter-population,0.6663454825588837
Inter-population,0.9013848555217524
Inter-population,0.8196611513258368
Inter-population,0.7921479992912885
Inter-population,0.7723136597922977
Inter-population,0.8837982914710731
Inter-population,0.9167706194044776
Inter-population,0.5833849655917105
Inter-population,0.8256083539759352
Inter-population,0.9119869754173922
Inter-population,0.9287488976550654
Inter-population,0.9164849743108536
Inter-population,0.7304906091317844
Inter-population,0.9721044252374136
Inter-population,0.9538560455125225
Inter-population,0.9457092777434692
Inter-population,0.9309563306867494
Inter-population,0.909030695832492
Inter-population,0.8969746194702364
Inter-population,0.8648486210417344
Inter-population,0.7980657916444104
Inter-population,0.8670683187491428
Inter-population,0.7916587940169728
Inter-population,0.8430052514510655
Inter-population,0.9315940183847564
Inter-population,0.9711038663003136
Inter-population,0.9797187565962746
Inter-population,0.7788347865540155
Inter-population,0.7735046467167719
Inter-population,0.8547040865942189
Inter-population,0.9219894757906892
Inter-population,0.8806794614073501
Inter-population,0.8975190628470737
Inter-population,0.9918310227661596
Inter-population,0.9263554921785156
Inter-population,0.9075565247008568
Inter-population,0.9300331895617292
Inter-population,0.8087505618962686
Inter-population,0.96524409971361
Inter-population,0.9790222019067556
Inter-population,0.8668734533337138
Inter-population,0.9155844596260648
Inter-population,0.96203037340543
Inter-population,0.977442735904128
Inter-population,0.7888219288098649
Inter-population,0.8783869350234795
Inter-population,0.9694000872393922
Inter-population,0.9614210590928408
Inter-population,0.9946451090086244
Inter-population,0.9884116096020424
Inter-population,0.8897162866673866
Inter-population,0.9541502790625104
Inter-population,0.9233785643676063
Inter-population,0.8666196425442164
Inter-population,0.8803807573543849
Inter-population,0.8999061905389646
Inter-population,0.8692028547265889
Inter-population,0.9154548177055318
Inter-population,0.8650837974950095
Inter-population,0.942912509656614
Inter-population,0.9655203501173004
Inter-population,0.9871641668721012
Inter-population,0.991859362173742
Inter-population,0.9061832118161344
Inter-population,0.9523639361458972
Inter-population,0.7789898603071638
Inter-population,0.8356232811474834
Inter-population,0.9288565726045276
Inter-population,0.8715505405772176
Inter-population,0.8944853042065101
Inter-population,0.7997941602239063
Inter-population,0.7809696098544787
Inter-population,0.9434068572123032
Inter-population,0.9549669777684732
Inter-population,0.8907122018414367
Inter-population,0.7115819390952152
Inter-population,0.9446429801774292
Inter-population,0.9416620191840694
Inter-population,0.8128436747887611
Inter-population,0.7660377187989057
Inter-population,0.8228863993481124
Inter-population,0.8981365771821026
Inter-population,0.944019068916996
Inter-population,0.9918377298186346
Inter-population,0.7881541426256107
Inter-population,0.8548537288160752
Inter-population,0.8964923282117493
Inter-population,0.9421026235327294
Inter-population,0.9362990676236116
Inter-population,0.8911858330052848
Inter-population,0.8672294712219185
Inter-population,0.9643759455246236
Inter-population,0.788181388693144
Inter-population,0.9516032619669196
Inter-population,0.965928597329416
Inter-population,0.8621021672541692
Inter-population,0.937125515414321
Inter-population,0.8715875783842054
Inter-population,0.8534118748981663
Inter-population,0.911517008291974
Inter-population,0.8462756278759987
Inter-population,0.9195088103691642
Inter-population,0.6328978481773627
Inter-population,0.8784294501799871
Inter-population,0.907254448880038
Inter-population,0.9046053451701804
Inter-population,0.7637433792594056
Inter-population,0.9945243699768274
Inter-population,0.9193843340231146
Inter-population,0.9762968068300618
Inter-population,0.9202060986710464
Inter-population,0.8190223664496258
Inter-population,0.8583510216526444
Inter-population,0.9170663774710524
Inter-population,0.8760200584157881
Inter-population,0.8247756732744849
Inter-population,0.9064318890682042
Inter-population,0.980167524781734
Inter-population,0.9515906860452056
Inter-population,0.8691584823371171
Inter-population,0.9048663268576852
Inter-population,0.9573603083710508
Inter-population,0.8685799661652289
Inter-population,0.7919822590206943
Inter-population,0.97322929830826
Inter-population,0.9022391676202248
Inter-population,0.7832699722822698
Inter-population,0.8606817845472978
Inter-population,0.9150438118946964
Inter-population,0.824457851519292
Inter-population,0.9351446699863026
Inter-population,0.7037995862075723
Inter-population,0.907425388634418
Inter-population,0.8001352142593118
Inter-population,0.9231124126334268
Inter-population,0.8621139549955635
Inter-population,0.8945493791863716
Inter-population,0.9276035450488048
Inter-population,0.9252032775699224
Inter-population,0.8313504487005542
Inter-population,0.8293127097704927
Inter-population,0.947478548937489
Inter-population,0.9136010909041768
Inter-population,0.92169698598037
Inter-population,0.955221174185762
Inter-population,0.9305294012855012
Inter-population,0.8213587899826659
Inter-population,0.9227084718442602
Inter-population,0.9247635858583424
Inter-population,0.8910184187755884
Inter-population,0.9289287959203124
Inter-population,0.9435626713189984
Inter-population,0.8208505466699051
Inter-population,0.910940680075692
Inter-population,0.7785642498169796
Inter-population,0.9037049275228268
Inter-population,0.9536945295889256
Inter-population,0.9199261249463028
Inter-population,0.875960829509615
Inter-population,0.9593777671881796
Inter-population,0.9816873323420724
Inter-population,0.7317769722106596
Inter-population,0.8327161976268966
Inter-population,0.9833679835475334
Inter-population,0.9331961762956889
Inter-population,0.9522250097184308
Inter-population,0.8617569561057946
Inter-population,0.9160508977243652
Inter-population,0.9847528851314592
Inter-population,0.8277511426218223
Inter-population,0.955506927587016
Inter-population,0.9419923775370572
Inter-population,0.8448222241467648
Inter-population,0.9461224690179336
Inter-population,0.9043687900132206
Inter-population,0.9246757456707252
Inter-population,0.92661086292025
Inter-population,0.9150576185200529
Inter-population,0.9163390251169466
Inter-population,0.931557737809846
Inter-population,0.9010358828436072
Inter-population,0.8969870576866712
Inter-population,0.9360886436477064
Inter-population,0.9589861218876792
Inter-population,0.9149304274194354
Inter-population,0.8200761166013973
Inter-population,0.9164217283139436
Inter-population,0.8977071972034697
Inter-population,0.9662365558986584
Inter-population,0.8035429769177496
Inter-population,0.8864782603750488
Inter-population,0.9150969276588696
Inter-population,0.8370188558376077
Inter-population,0.9503942399837306
Inter-population,0.9200768032033744
Inter-population,0.8593886262790574
Inter-population,0.8828352726459058
Inter-population,0.8567318594347556
Inter-population,0.8727147552443265
Inter-population,0.7366317088299753
Inter-population,0.9222016646142172
Inter-population,0.8373276447443633
Inter-population,0.8519000331915568
Inter-population,0.8295344075055789
Inter-population,0.9009315591781576
