Genome Cluster ID,Number of Non-redundant Genomes
Cluster_1286,20
Cluster_1287,1
Cluster_1288,6
Cluster_1289,3
Cluster_129,36
Cluster_1290,9
Cluster_1291,61
Cluster_1292,38
Cluster_1293,20
Cluster_1294,1
Cluster_1295,5
Cluster_1296,34
Cluster_1297,92
Cluster_1298,49
Cluster_1299,3
Cluster_13,2
Cluster_130,154
Cluster_1300,3
Cluster_1301,14
Cluster_1302,2
Cluster_1303,1
Cluster_1304,1
Cluster_1305,1
Cluster_1306,1
Cluster_1307,1
Cluster_1308,32
Cluster_1309,1
Cluster_131,95
Cluster_1310,1
Cluster_1311,2
Cluster_1312,3
Cluster_1313,1
Cluster_1314,225
Cluster_1315,1483
Cluster_1316,2
Cluster_1317,6
Cluster_1318,10
Cluster_1319,13
Cluster_132,1262
Cluster_1320,7
Cluster_1321,1
Cluster_1322,1
Cluster_1323,1
Cluster_1324,30
Cluster_1325,20
Cluster_1326,2
Cluster_1327,2
Cluster_1328,23
Cluster_1329,10
Cluster_133,214
Cluster_1330,7
Cluster_1331,10
Cluster_1332,26
Cluster_1333,4
Cluster_1334,12
Cluster_1335,1
Cluster_1336,1
Cluster_1337,8
Cluster_1338,3
Cluster_1339,47
Cluster_134,2920
Cluster_1340,3
Cluster_1341,1
Cluster_1342,3
Cluster_1343,2
Cluster_1344,7
Cluster_1345,5
Cluster_1346,3
Cluster_1347,1
Cluster_1348,4
Cluster_1349,1
Cluster_135,1517
Cluster_1350,1
Cluster_1351,1
Cluster_1352,1
Cluster_1353,4
Cluster_1354,119
Cluster_1355,12
Cluster_1356,1
Cluster_1357,4
Cluster_1358,1
Cluster_1359,1
Cluster_136,227
Cluster_1360,1
Cluster_1361,5
Cluster_1362,11
Cluster_1363,26
Cluster_1364,21
Cluster_1365,4
Cluster_1366,1
Cluster_1367,3
Cluster_1368,6
Cluster_1369,41
Cluster_137,797
Cluster_1370,24
Cluster_1371,184
Cluster_1372,1
Cluster_1373,1
Cluster_1374,3
Cluster_1375,2
Cluster_1376,6
Cluster_1377,15
Cluster_1378,19
Cluster_1379,2
Cluster_138,32
Cluster_1380,2
Cluster_1381,7
Cluster_1382,3
Cluster_1383,1
Cluster_1384,32
Cluster_1385,1
Cluster_1386,1
Cluster_1387,8
Cluster_1388,23
Cluster_1389,1
Cluster_139,1009
Cluster_1390,1
Cluster_1391,1
Cluster_1392,4
Cluster_1393,4
Cluster_1394,1
Cluster_1395,1
Cluster_1396,2
