species,sid,species-level snp diversity,location
Species_256,0027,0.0,East
Species_256,0010,,East
Species_256,0001,,East
Species_256,0011,,East
Species_256,0020,,East
Species_256,0019,,East
Species_256,0002,,East
Species_256,0005,,East
Species_256,107201700051,,East
Species_256,0022,,East
Species_256,0021,,East
Species_256,107201700033,,East
Species_256,107201700022,,East
Species_256,0006,,East
Species_256,0004,0.06170798898071626,East
Species_256,0013,,East
Species_256,0032,,East
Species_256,107201700056,,East
Species_256,107201700012,,East
Species_256,107201700013,,East
Species_256,107201700007,,East
Species_256,107201700017,,East
Species_256,107201700002,,East
Species_256,107201700010,,East
Species_256,107201700034,,East
Species_256,107201700036,,East
Species_256,107201700027,,East
Species_256,107201700023,,East
Species_256,107201700020,,East
Species_256,107201700037,,East
Species_256,107201700142,,East
Species_256,107201700018,0.07480893592004703,East
Species_256,107201700041,,East
Species_256,107201700024,,East
Species_256,107201700042,,East
Species_256,107201700040,,East
Species_256,107201700028,,East
Species_256,107201700055,,East
Species_256,107201700045,0.02754353162673656,East
Species_256,107201700038,,East
Species_256,107201700054,0.03646374770942245,East
Species_256,107201700044,,East
Species_256,107201700061,,East
Species_256,107201700050,,East
Species_256,107201700032,,East
Species_256,107201700043,,East
Species_256,107201700074,,East
Species_256,107201700068,,East
Species_256,107201700046,,East
Species_256,107201700075,0.2817947395564724,East
Species_256,107201700058,0.005759303085506295,East
Species_256,107201700072,,East
Species_256,107201700071,0.009061988437340419,East
Species_256,107201700059,,East
Species_256,107201700077,,East
Species_256,107201700057,,East
Species_256,107201700069,,East
Species_256,107201700076,,East
Species_256,107201700085,,East
Species_256,107201700066,,East
Species_256,107201700065,,East
Species_256,107201700064,,East
Species_256,107201700096,0.025706214689265535,East
Species_256,107201700079,,East
Species_256,107201700062,,East
Species_256,107201700103,0.0063051999222212,East
Species_256,107201700099,,East
Species_256,107201700086,,East
Species_256,107201700081,,East
Species_256,107201700109,,East
Species_256,107201700091,,East
Species_256,107201700097,,East
Species_256,107201700073,,East
Species_256,107201700087,0.04802259887005649,East
Species_256,107201700115,,East
Species_256,107201700078,,East
Species_256,107201700083,,East
Species_256,107201700112,,East
Species_256,107201700104,,East
Species_256,107201700084,,East
Species_256,107201700111,,East
Species_256,107201700088,,East
Species_256,107201700090,,East
Species_256,107201700102,,East
Species_256,107201700113,0.0037501805614899974,East
Species_256,107201700092,0.04883401920438957,East
Species_256,107201700124,,East
Species_256,107201700127,,East
Species_256,107201700118,,East
Species_256,107201700125,0.005544933078393882,East
Species_256,107201700110,,East
Species_256,107201700123,,East
Species_256,107201700116,,East
Species_256,107201700094,,East
Species_256,107201700121,,East
Species_256,107201700105,,East
Species_256,107201700119,,East
Species_256,107201700106,0.03379425544777726,East
Species_256,107201700120,,East
Species_256,107201700128,,East
Species_256,107201700131,,East
Species_256,107201700126,,East
Species_256,107201700132,,East
Species_256,107201700130,,East
Species_256,107201700240,,East
Species_256,107201700138,,East
Species_256,107201700134,,East
Species_256,107201700145,,East
Species_256,107201700144,,East
Species_256,107201700133,,East
Species_256,107201700135,0.03393393393393394,East
Species_256,107201700139,,East
Species_256,107201700129,,East
Species_256,107201700140,,East
Species_256,107201700153,,East
