sid,within_sample_diversity,location
sample_8398,0.04694686660648105,West
sample_3433,0.028538042959274645,East
sample_2614,0.04724674905391899,East
0005,0.014552515943591415,East
0002,0.0470078771266125,East
sample_1000,0.024044852831601904,West
0006,0.010121169382250519,East
0022,0.04695562801047959,East
0019,0.09704880126620408,East
0010,0.07939603699619822,East
0032,0.03285578801672968,East
sample_8393,0.05360522503541729,West
sample_8394,0.031344948602143916,West
0011,0.034256669699040024,East
0021,0.05326084530611105,East
0004,0.07350120411274004,East
0027,0.06541451200451823,East
sample_8400,0.05653526429254568,West
0015,0.033214974906079685,East
sample_2923,0.06594617378833414,East
sample_7493,0.021671562171203383,West
0013,0.08702813956089658,East
sample_2397,0.01202225752218791,West
sample_8401,0.006847397516207,West
sample_8403,0.020592336184706964,West
sample_1,0.10648165079721836,East
sample_8408,0.031515432364087596,West
sample_8426,0.006863020893957502,West
0001,0.06290501061023203,East
sample_1022,0.006897524013739839,West
sample_2656,0.075551669720191,East
sample_8413,0.026602701999131888,West
sample_3183,0.02806317826980885,East
0020,0.06891693263881506,East
sample_2313,0.00869409556836184,West
sample_1043,0.007585412464020967,West
sample_8416,0.03578711760867193,West
sample_7510,0.0,West
107201700980,0.07885372377690214,East
sample_2343,0.07375337356615123,East
K0065,0.12016870410228668,East
107201701176,0.06353811282538721,East
107201701180,0.028836228387817193,East
sample_5532,0.044725519247323556,West
107201701187,0.036742154190581244,East
107201701175,0.05813912783472978,East
107201701194,0.05549228503336138,East
107201701177,0.01992562588429341,East
107201701198,0.11304427681012068,East
107201701183,0.07490604026849917,East
107201701196,0.09266299695001204,East
107201701185,0.08468536681555061,East
107201701192,0.09993203436891526,East
107201701178,0.039565798953432325,East
107201701200,0.12445833858725565,East
107201701174,0.11079031114692856,East
107201701197,0.06993504151797549,East
107201701199,0.055291551242516515,East
107201701173,0.06237348167636595,East
107201701186,0.06805351509443625,East
107201701188,0.07905890286297805,East
107201701195,0.04309357345827779,East
sample_7597,0.0,West
sample_7635,0.0,West
sample_7649,0.18181818181818185,West
sample_7594,0.0,West
sample_7633,0.0,West
sample_7640,0.0,West
sample_7638,0.0,West
sample_7636,0.0,West
sample_7424,0.0,West
sample_7628,0.0,West
sample_7703,0.0,West
sample_7631,0.0,West
sample_7687,0.0,West
sample_7624,0.0,West
sample_10714,0.0,West
sample_7652,0.0,West
sample_10704,0.0,West
sample_7617,0.0,West
sample_7627,0.0,West
sample_7711,0.0,West
sample_7616,0.0,West
sample_7680,0.0,West
sample_7600,0.0,West
107201701182,0.10224509082304943,East
sample_7415,0.0,West
sample_7544,0.0,West
sample_7738,0.0,West
sample_10603,0.018367201426024955,West
sample_7566,0.0,West
sample_10667,0.0,West
sample_10649,0.022425800921461483,West
sample_7588,0.0,West
sample_7719,0.0,West
sample_7612,0.0,West
sample_7429,0.10526315789473684,West
sample_7564,0.0,West
sample_7672,0.0,West
sample_7537,0.0,West
sample_10601,0.19215827150156795,West
sample_10610,0.02420579319136651,West
sample_7735,0.0,West
sample_10708,0.08686868686868687,West
sample_7622,0.0,West
sample_7714,0.0,West
sample_7737,0.0,West
sample_7541,0.0,West
sample_5960,0.006433965490043103,East
sample_7550,0.0,West
sample_10669,0.0,West
sample_10874,0.04360331120410478,West
sample_6407,0.08448995255768932,West
sample_7460,0.0,West
sample_7539,0.0,West
sample_10698,0.0,West
sample_7927,0.022585198628755798,West
sample_7533,0.0,West
sample_7247,0.10373199888148749,West
sample_7676,0.0,West
sample_7901,0.07438814942035207,West
sample_7406,0.0,West
sample_7449,0.0,West
sample_7433,0.0,West
sample_7551,0.0,West
sample_7734,0.06773455377574371,West
K0185,0.024606111527828937,East
107201701191,0.09182049286499859,East
sample_10687,0.0,West
sample_7547,0.0,West
K0181,0.029626670468379558,East
sample_7685,0.0,West
sample_7189,0.022047302297886512,East
K0158,0.02419514269656928,East
sample_1902,0.039534773098862164,East
sample_10639,0.015980345067451007,West
sample_7434,0.0,West
sample_10614,0.01234194635799741,West
sample_7408,0.0,West
sample_7706,0.0,West
sample_11739,0.061112404906070485,West
sample_7570,0.0,West
sample_10631,0.008751180987219283,West
sample_2842,0.0073765129211645405,West
sample_7557,0.0,West
sample_7281,0.0012220475860109784,West
sample_6414,0.01877274198623647,West
sample_7686,0.0,West
sample_10866,0.06294903503603744,West
sample_7688,0.0,West
sample_7535,0.0,West
sample_6499,0.013667219602138089,East
sample_6536,0.027354472947033432,West
sample_7534,0.0,West
sample_7710,0.0,West
sample_10875,0.021574306581859454,West
sample_7675,0.0,West
sample_7659,0.5,West
sample_7677,0.0,West
sample_5419,0.009032809594734462,West
sample_7376,0.015567265050863118,West
sample_7725,0.0,West
sample_6962,0.059773367760780516,West
sample_5489,0.01143745760848099,West
sample_10633,0.0759296566399137,West
sample_11155,0.18174119241192413,West
sample_7032,0.06315101935720638,East
sample_7377,0.017777122516561134,West
sample_7708,0.0,West
sample_7303,0.006263881587658739,West
sample_6435,0.00713867565084218,West
sample_7272,0.0026761541951011185,West
sample_7354,0.07316108865891642,West
sample_10876,0.020361186927728994,West
sample_10869,0.00919158659713804,West
sample_7308,0.0031445258012212755,West
sample_10919,0.005150148631139341,West
sample_6769,0.0069932875086724956,West
sample_6037,0.01717597086750981,West
sample_11472,0.0,West
sample_10851,0.0,West
sample_9060,0.014061625212666016,East
sample_11394,0.00980392156862745,West
sample_7375,0.004193308212854109,West
sample_10864,0.008467329051235178,West
107201701190,0.08540427693924754,East
sample_7323,0.00427950883048525,West
sample_6614,0.010335482105319043,West
sample_7335,0.0066076068882928805,West
sample_6960,0.019690018149085442,West
sample_10763,0.009508333903659056,West
